Job Title,Job Link,Company,Location,Education,Experience,Deadline,Job Description
Software Developer (Python/Django),https://jobs.bdjobs.com/jobdetails.asp?id=1355349&fcatId=8&ln=1,ZK IT Solutions Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer ScienceGraduated from a reputed University in Computer...,At least 3 year(s),09-May-25,"3-4 years experience in HTML,CSS, Bootstrap, Vue.js, Typescript, Python, Django, REST APIs, API integrations, API development.
Database: Work with MySQL/PostgreSQL databases to ensure optimized performance.
Utilize Git for version control and maintain clean, structured code.
Detail-oriented and excellent concentration ability
Experienced with Agile method and deadline driven.
Experienced with Slack, Direct Cloud, Backlog GIT, Jenkins, SonarQube.
End user-oriented
Expert IT skills.
Advanced knowledge of operating systems.
An analytical mindset and critical thinking
Aptitude for learning new technology.
Superior communication skills."
.Net Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1356555&fcatId=8&ln=1,PRAN Group,Natore,Bachelor of Science (BSc) in Computer Science & Engineering,1 to 4 year(s),03-May-25,".Net
C#
CSS
HTML
JavaScript
jQuery"
UI/UX Designer (Multiple Positions),https://jobs.bdjobs.com/jobdetails.asp?id=1356535&fcatId=8&ln=1,Solution Explorer,Anywhere in Bangladesh,"Bachelor’s Degree in Design, Computer Science, or a related field.",At least 1 year(s),20-Apr-25,"Adobe XD
Adobe XD Figma Sketch
Branding and typography
Figma
Prototyping
Sketch
UI and UX Design
user interface
visual designer
Wireframing"
Digital Marketing - Social Media Manager / Team Lead,https://jobs.bdjobs.com/jobdetails.asp?id=1355343&fcatId=8&ln=1,Uptec,ECB Chottor,"Bachelor's Degree in Marketing, Communications, Digital Media, or a related field.",3 to 7 year(s),12-May-25,"Content Marketing
Digital Content Development
Digital Marketing
Digital Marketing (Social Media Marketing)
Digital marketing expert
SEO and Digital Marketing
SEO Expert
Social Media Manager
Social Media Marketing
Social Media Marketing (SMM)"
AI Developer / Full Stack Python Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1356493&fcatId=8&ln=1,Way Wise,Dhaka,Bachelor of Science (BSc) in Computer Science & Engineering,4 to 7 year(s),22-Apr-25,"Computer Science/ Engineering
Full stack developer
Python Programmer
Software"
Full-Stack Software Developer for Microservice eCommerce Project,https://jobs.bdjobs.com/jobdetails.asp?id=1356372&fcatId=8&ln=1,Pakiza Fashion & Design,Vatara,Bachelor in Engineering (BEngg)Masters in Engineering (MEngg),5 to 10 year(s),12-May-25,"Age 24 to 40 years
PHP & Laravel: Strong proficiency in PHP, and extensive experience with the Laravel framework.

Frontend Development: Proficiency in JavaScript, particularly with frameworks like Next.js.

Microservices Architecture: Familiarity with microservice development tools and patterns.

Database Management: Strong knowledge of MySQL and database optimization techniques.

DevOps: Experience with CI/CD pipelines, Docker, Kubernetes, and cloud platforms (e.g., AWS, Azure).

Familiarity with other microservice tools like RabbitMQ, Kafka, or Redis for messaging and caching.

Experience with API Gateway and Authentication methods (OAuth, JWT).

Knowledge of cloud infrastructure and serverless architectures.

Version Control: Proficiency in Git for collaborative development.

Familiarity with Node.js for backend development

Experience with real-time systems like notifications, chatting, etc.

Strong problem-solving skills, a keen eye for detail, and ability to work in a fast-paced, collaborative environment."
Mid-Level Flutter Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1345645&fcatId=8&ln=1,Suchona Ltd.,Dhaka,Bachelor of Science (BSc),3 to 5 year(s),12-May-25,"Job Description

We are urgently looking for a Mid-Level Flutter Developer with a minimum of 1+ years of experience in Flutter app development, especially for iOS platforms. The ideal candidate should be proficient in Flutter with solid experience in using Provider for state management. This is a full-time, on-site position requiring 6 working days per week at our Motijheel City Center office.

Key Responsibilities

Develop, test, and deploy high-quality Flutter applications with a focus on iOS functionality.

Manage app state using the Provider package to ensure a smooth user experience.

Collaborate with the development team to plan and implement new features.

Debug and resolve any issues specific to iOS, ensuring performance and quality.

Engage in regular code reviews and provide constructive feedback to other team members.

Requirements

Experience: At least 1+ years of experience in professional Flutter development, including iOS deployment and management.

Technical Skills:

Strong knowledge of Flutter and Dart.

Proficiency in Provider for state management.

Familiarity with iOS deployment processes, certificates, and provisioning profiles.

Good understanding of RESTful APIs and their integration with Flutter applications.

Availability: Must be able to join from the beginning of next month.

Benefits"
IT Officer,https://jobs.bdjobs.com/jobdetails.asp?id=1356271&fcatId=8&ln=1,Christian Service Society (CSS),Anywhere in Bangladesh,Bachelor of Science (BSc)Diploma / B.Sc. in Information TechnologyAcademic qualification will be...,At least 3 year(s),26-Apr-25,"Prepare required information to the Head Office using computer applications and ensure timely delivery of documents via email or courier services.

Resolve any computer issues at branches over the phone or visit branches for on-site problem resolution when necessary.

Make the necessary arrangements for the repair of significant computer-related issues.

Train Assistant Branch Managers (ABMs) and Branch Managers (BMs) on software usage.

Check for proper maintenance of computers during branch visits.

Ensure all computer works are saved to designated drives (""D,"" ""E,"" or ""F"") with backups maintained.

Ensure that software-related tasks are backed up on CDs and submitted to the Zonal Manager (ZM).

Maintain a virus-free system for the branches by keeping antivirus software updated.

Prohibit unauthorized software, games, or video CDs without prior approval.

Ensure office computers and equipment are not used for non-official purposes or personal use.

Prevent overheating of computers by using fans as necessary.

Ensure computers are covered with a cloth after cooling down post-shutdown.

Restrict unauthorized personnel from using office computers or the internet without proper permissions.

Ensure adherence to office protocols and report internet expenses to the ZM to control misuse.

Oversee the proper functioning of computers within the zone and seek support from other IT officers or software providers as needed.

Collect MIS (Management Information System) and FIS (Financial Information System) reports from branches by the 3rd of each month, correct errors by the 5th, and submit finalized reports to the Zonal Accounts and Monitoring Officer by the 6th.

Ensure monthly MIS/FIS reports are sent to the Head Office.

Address urgent issues at branches in consultation with the ZM and take necessary action.

Dedicate up to six days per month to branch-level backup tasks and work remotely via modem for the remaining days.

Complete additional tasks assigned by higher authorities as required."
Manager (ERP),https://jobs.bdjobs.com/jobdetails.asp?id=1356218&fcatId=8&ln=1,EXPERIENCE GROUP,Bhaluka,Bachelor of Science (BSc),3 to 4 year(s),12-May-25,"ERP Implementation
Erp software
ERP Systems"
Digital Marketing Executive (SEO & Meta Advertising Expert),https://jobs.bdjobs.com/jobdetails.asp?id=1356159&fcatId=8&ln=1,PC House BD,Elephant Road,Diploma in Computer,3 to 5 year(s),11-May-25,"ahrefs
Google analytics
google search console
Market Research
Meta Marketing
Search Engine Optimization (SEO)
SEMRUSH"
APK Protection Specialist (Flutter and React Native),https://jobs.bdjobs.com/jobdetails.asp?id=1356142&fcatId=8&ln=1,Qubely Global,Uttara,N/A,1 to 5 year(s),21-Apr-25,"Flutter Developer
Mobile App Development (iOS
Mobile apps developer
Programming
React Native
React NativeFlutter"
Laravel Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1355687&fcatId=8&ln=1,T-Series Solutions,Dhaka,Bachelor of Science (BSc)A recognized training course on Website/Software Development using...,Na,21-Apr-25,"Bootstrap
Cpanel
HTML5 & CSS3
JavaScript
Laravel Framework
MySQL database
PHP"
Intern (Sales/Business Development),https://jobs.bdjobs.com/jobdetails.asp?id=1356003&fcatId=8&ln=1,Techsolutions Plex Ltd.,Mohakhali,Bachelor of Business Administration (BBA),Na,25-Apr-25,"Business Development
IT Support Service
Sales
Sales & Marketing
Sales target
Customer Service
Web Developer/ Web Designer"
Junior Executive - IT & Service,https://jobs.bdjobs.com/jobdetails.asp?id=1355997&fcatId=8&ln=1,Arogga Limited,Mirpur 10,N/A,1 to 3 year(s),30-Apr-25,"Computer Hardware and Networking
COMPUTER OFFICE MANAGEMENT
Inventory management
Laptop Servicing
MS office"
System Support Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355924&fcatId=8&ln=1,MY Outsourcing Ltd.,Banani,Bachelor of Science (BSc) in Computer Science & Engineering,1 to 3 year(s),10-May-25,"Computer Engineering
Computer Hardware and Networking
Computer Troubleshooting
Printer Troubleshooting
Technical Skills
WIFI connectivity"
Executive Web Developer,https://jobs.bdjobs.com/jobdetails.asp?id=1355940&fcatId=8&ln=1,Center Of Digital Marketing- CDM,Uttara Sector 3,Bachelor of Science (BSc),1 to 3 year(s),20-Apr-25,"Develop, customize, and maintain WordPress websites, themes, and plugins.

Optimize websites for speed, performance, and SEO.

Troubleshoot and debug issues, ensuring cross-browser and cross-device compatibility.

Collaborate with designers, content creators, and other developers to deliver high-quality web solutions.

Implement security best practices to protect websites from vulnerabilities.

Stay updated with the latest WordPress trends, tools, and technologies."
Software Engineer (Microsoft DOT.NET Platform),https://jobs.bdjobs.com/jobdetails.asp?id=1355938&fcatId=8&ln=1,Azolution Software & Engineers Ltd.,Anywhere in Bangladesh,Bachelor of Science (BSc) in Computer Science & EngineeringMaster of Science (MSc) in Computer...,At least 2 year(s),10-May-25,"Ajax or JavaScript
ASP.NET Core MVC
ASP.NET MVC
C#
Complex SQL Query
Database Optimization
Microservice Architecture and Design Patterns
MS SQL Server
Web Services likes REST JSON XML APIs
Windows Service"
Operation & Customer Care (Team Lead),https://jobs.bdjobs.com/jobdetails.asp?id=1355402&fcatId=8&ln=1,DG Infotech Limited,Gulshan,Bachelor of Science (BSc)Diploma in Health Technology and Services in PharmacyBachelor of Business...,4 to 6 year(s),09-May-25,"Conflict management
Continuous Improvement and Process Optimization
Fluent in English Speaking
Leadership and interpersonal skills
Multitasking
Pharmacy related
Proactive and Positive attitude
Problem solving and decision making
Product knowledge
Strong leadership and team management skill"
Project Coordinator Intern,https://jobs.bdjobs.com/jobdetails.asp?id=1355578&fcatId=8&ln=1,Innofast Technologies Ltd.,Lalmatia,Bachelor of Science (BSc) in Computer Science & Engineering,Na,24-Apr-25,"Analytical Skill
Attention to details
English Communicatin Skill
highly proactive
Listening Skill
Organizational Skills
Presentation skill
Professionalism
Research
Wireframe"
DevOps Engineer,https://jobs.bdjobs.com/jobdetails.asp?id=1355813&fcatId=8&ln=1,Cosmos Group,Dhaka,Bachelor in Engineering (BEngg) in Computer Science & Engineering,3 to 5 year(s),24-Apr-25,"Proficiency in DevOps tools and platforms (e.g., Docker, Kubernetes, Jenkins).

3-5 Years Experience in DevOps Experience with cloud platforms like DigitalOcean, AWS, or Google Cloud and their native DevOps tools.

Strong scripting skills in languages such as Python, Bash, or PowerShell for automation.

Familiarity with performance testing tools (e.g., JMeter, LoadRunner).

Solid knowledge of cybersecurity practices, tools, and frameworks (e.g., OWASP, CIS benchmarks).

Familiarity with firewalls, intrusion detection/prevention systems, and SIEM solutions.

Excellent troubleshooting and problem-solving skills.

Experience with CI/CD pipelines and collaboration with development and QA teams.

Knowledge of incident response frameworks like NIST or ISO standards."
Intern - Cyber Security,https://jobs.bdjobs.com/jobdetails.asp?id=1355625&fcatId=8&ln=1,FSN Solution Limited,Dhaka,Bachelor of Science (BSc)Bachelor of Business Administration (BBA)Master of Science (MSc),Na,24-Apr-25,"IT Support Service
IT System Management
"
